group|detection_smarts|smarts|contribute|composed|molecular_weight|group_number
>C=S|[CX3H0]=[SH0]||"{"">C=S"": 1}"|n|44.076|204
aC-CON|[cH0][CH0](=O)[NH0]||"{""aC-CON"": 1, ""aC except as above"": -1}"|n|54.028|205
aC=O|[CH0;R]=O||"{""aC=O"": 1}"|n|28.01|206
aN-|[NX3H0;R]||"{""aN-"": 1}"|n|14.007|207
-Na|[Na]||"{""-Na"": 1}"|n|22.99|208
-K|[K]||"{""-K"": 1}"|n|39.098|209
HCONH|[CH](=O)[NH]||"{""HCONH"": 1}"|n|44.0326|210
CHOCH|[CH]([O]1)[CH]1||"{""CHOCH"": 1, ""CHO"": -1, ""CH"": -1}"|y|42.0366|211
C2O|[CH0]([O]1)[CH0]1||"{""C2O"": 1, ""CO"": -1, ""C"": -1}"|y|40.021|212
SiH3|[SiX4H3]||"{""SiH3"": 1}"|n|31.1094|213
SiH2O|[SiX4H2]O[Si,CH0;!$([CH](=O));!$(C(=O)[!O])]|[SiX4H2]O|"{""SIH2O"": 1, ""SIH2"": -1}"|n|46.1006|214
CH=C=CH|[CH]=[CH0]=[CH]||"{""CH=C=CH"": 1}"|n|38.0486|215
CH=C=C|[CH]=[CH0]=[CH0]||"{""CH=C=C"": 1}"|n|37.0408|216
OP(=S)O|[PX4H0]([OH0])([OH0])=[SH0]||"{""OP(=S)O"": 1}"|n|95.037|217
? R||||||218
CF2cyclic|[CH0;R]([F])[F]||"{""CF2cyclic"": 1}"|n|50.007|219
CFcyclic|[CH0;R]([F])[!F]||"{""CFcyclic"": 1}"|n|31.009|220
